id;code;designation;prix_unitaire_ht;taux_tva;prix_unitaire_ttc;photo;quantite_en_stock;seuil_de_reapprovisionnement
1;SUV Nord;Chaise Tandem;17414;24429;26492;résoudre indigo Licencié;5982;32744
2;monospaces Frais;poireau mélancolique Yen;29133;21294;26474;orchidée Lofi;1483;18413
3;chef comme Sud;bikes;24868;24263;10346;sincère;1887;26040
4;Homme perle Homme;Gants;29440;32510;19415;jeune;26294;24943
5;Chaussures Ouest;de Homme gigantesque;14371;5819;22475;infime Lorraine Gants;388;30353
6;Rue;Nord;13892;8228;6575;Ouest;5471;20020
7;Métal Électronique;bleu à retrait;3188;20873;32389;Ouest Homme;16429;17221
8;adorable cloche;Béton;19014;28655;15777;retrait;6481;2854
9;efficace splendide Epargne;Saucisses;6306;2873;2306;Homme facture;6853;18400
10;Est bœuf;Moderne Voiture;3582;26240;7509;Nord;23686;17072
