id;code;date_commande;date_livraison_prevue;montant_total;commentaire;statut_cmd
1;sit Bébé serviable;2023-08-01T20:31:14;2023-08-02T12:07:33;14472;Vêtements Vélo;EN_COURS_DE_TRAITEMENT
2;Manager beurre;2023-08-02T00:35:29;2023-08-02T14:13:43;12509;Est Rustique;LIVREE
3;commis Caoutchouc;2023-08-02T11:58:52;2023-08-02T04:27:36;7172;dolorem Enfants Nord;EN_ATTENTE_DE_LIVRAISON
4;cuisine Seine;2023-08-02T01:23:02;2023-08-02T15:56:46;11058;Rosiers Livres commis;EN_COURS_DE_TRAITEMENT
5;eligendi;2023-08-02T11:12:58;2023-08-02T04:28:16;11403;Homme Frais;LIVREE
6;démontrer;2023-08-02T07:42:34;2023-08-02T04:33:48;17029;par;LIVREE
7;Electronique Brunei;2023-08-02T09:12:02;2023-08-02T16:56:45;344;goûter;EN_COURS_DE_TRAITEMENT
8;Frites;2023-08-01T23:35:14;2023-08-02T15:02:25;30146;Variété;EN_COURS_DE_TRAITEMENT
9;sanguine Bretagne;2023-08-02T09:33:44;2023-08-02T09:51:18;14315;Diesel Doux;EN_COURS_DE_TRAITEMENT
10;Riyal formuler large;2023-08-02T01:31:22;2023-08-02T03:25:29;548;rouge Cruiser Hop;EN_ATTENTE_DE_LIVRAISON
