id;quantite;prix_unitaire;date_livraison_prevue;montant_total;commentaire;statut_cmd
1;21031;3759;2023-08-02T13:08:44;31478;Électrique Sud;EN_COURS_DE_TRAITEMENT
2;21117;11480;2023-08-01T19:45:07;3362;incognito Lorraine;EN_ATTENTE_DE_LIVRAISON
3;21647;19676;2023-08-01T22:27:15;18680;Oriental;LIVREE
4;9050;12328;2023-08-02T01:06:24;1519;parlementaire;EN_COURS_DE_TRAITEMENT
5;11195;24306;2023-08-02T09:18:02;5291;dollar;LIVREE
6;20307;18447;2023-08-02T06:22:08;31232;Rustique;EN_ATTENTE_DE_LIVRAISON
7;14067;26168;2023-08-02T09:41:45;31050;Rustique orpiment;LIVREE
8;25487;32388;2023-08-02T16:53:52;20888;de Epargne Acier;EN_ATTENTE_DE_LIVRAISON
9;26404;2611;2023-08-02T11:26:30;16935;ocre Rustique rectorat;EN_COURS_DE_TRAITEMENT
10;29244;23787;2023-08-02T13:23:00;24440;olive foule Métal;EN_ATTENTE_DE_LIVRAISON
