id;quantite;prix_unitaire;date_livraison_prevu;montant_total;commentaire;statut_cmd
1;8591;31635;2023-08-02T00:28:41;10023;Luxueux de;EN_COURS_DE_TRAITEMENT
2;7471;20668;2023-08-02T10:35:27;1088;Électrique Bois;LIVREE
3;16698;23437;2023-08-02T00:51:17;5786;Minispaces atteindre;LIVREE
4;18646;4200;2023-08-02T07:54:30;11432;Sommerard;EN_ATTENTE_DE_LIVRAISON
5;26129;18730;2023-08-02T09:55:34;29591;Petit Métal Impasse;LIVREE
6;30143;8807;2023-08-02T00:31:39;29809;quand Corse administration;EN_ATTENTE_DE_LIVRAISON
7;20098;3301;2023-08-02T07:05:58;4557;moyen;EN_COURS_DE_TRAITEMENT
8;28326;24484;2023-08-02T03:55:57;7490;Électronique très carmin;EN_ATTENTE_DE_LIVRAISON
9;2552;6892;2023-08-02T05:52:47;20484;Sports Stagiaire;EN_ATTENTE_DE_LIVRAISON
10;19569;7943;2023-08-02T08:13:25;11881;Assistant;EN_ATTENTE_DE_LIVRAISON
