id;quantite;prix_unitaire;montant_remise;montant_total;taxe;commentaire;statut_vente
1;23607;24204;598;31340;3599;Industrie qui;EN_ATTENTE_DE_PAIEMENT
2;18495;12669;24311;8708;26275;Dollar services;EN_ATTENTE_DE_PAIEMENT
3;6349;28607;26565;1118;18427;Ethereum mastic;ANNULEE
4;9652;3752;19875;9567;26982;poil services;COMPLETEE
5;31517;26887;8764;12634;31283;Raffiné;COMPLETEE
6;22791;16134;21276;9228;1785;Oberkampf Israël;ANNULEE
7;25095;29865;9940;23334;7087;Génial;COMPLETEE
8;29668;26365;1652;24111;6665;Béton;COMPLETEE
9;3367;23009;14736;2941;21283;pour;ANNULEE
10;20341;7417;15682;21444;26688;Homme Dollar;EN_ATTENTE_DE_PAIEMENT
